id_cultivo,nombre_comun,nombre_cientifico,kc_inicial,kc_medio,kc_final,dias_etapa_inicial,dias_etapa_desarrollo,dias_etapa_media,dias_etapa_final,duracion_total_dias,consumo_objetivo_m3ha,consumo_promedio_2025,consumo_promedio_2026,ahorro_objetivo_pct,cultivo_prioritario
C001,Maiz,Zea mays,0.3,1.2,0.6,20,35,40,30,140,6500,9000,6500,27.8,True
C002,Frijol,Phaseolus vulgaris,0.4,1.15,0.35,20,30,30,20,110,6700,8750,6700,23.4,True
C003,Algodon,Gossypium hirsutum,0.35,1.2,0.7,30,50,55,45,180,6300,8150,6300,22.7,True
C004,Uva,Vitis vinifera,0.3,0.85,0.45,20,40,120,35,215,7150,9500,7150,24.7,True
C005,Chile,Capsicum annuum,0.6,1.05,0.9,25,35,40,25,125,7500,9750,7500,23.1,True
